Order_ID,Order_Date,Region,Category,Product,Sales,Quantity,Profit,Month
100089,2023-06-16,South,Office Supplies,Pen,185.33,4,45.27,6
100090,2024-10-14,North,Clothing,Jeans,673.9,2,106.89,10
100091,2023-12-27,East,Furniture,Bookshelf,1487.13,2,359.59,12
100092,2024-05-22,East,Clothing,T-Shirt,1175.07,3,341.41,5
100093,2024-11-15,West,Electronics,Laptop,462.72,1,134.56,11
100094,2023-07-22,North,Office Supplies,Notebook,658.92,5,40.1,7
100095,2023-02-16,South,Office Supplies,Notebook,1116.63,4,326.42,2
100096,2024-04-15,West,Electronics,Laptop,1262.56,1,247.56,4
100097,2024-02-12,South,Electronics,Tablet,1918.23,4,123.66,2
100098,2023-11-12,South,Office Supplies,Notebook,392.48,2,65.12,11
100099,2024-05-16,East,Furniture,Bookshelf,733.48,4,84.34,5
100100,2024-07-11,West,Clothing,T-Shirt,632.86,1,160.4,7
100101,2024-03-25,North,Clothing,T-Shirt,844.95,2,165.01,3
100102,2024-01-09,West,Furniture,Bookshelf,1112.14,2,101.44,1
100103,2024-11-19,North,Electronics,Smartphone,765.94,1,181.83,11
100104,2024-06-01,North,Electronics,Laptop,92.91,2,7.75,6
100105,2023-01-23,North,Office Supplies,Notebook,1999.44,5,598.15,1
100106,2023-03-19,North,Electronics,Laptop,1519.02,5,219.44,3
100107,2024-03-24,South,Electronics,Smartphone,1909.02,1,384.75,3
100108,2023-09-07,South,Electronics,Headphones,729.16,2,57.16,9
100109,2023-08-24,South,Furniture,Table,1049.92,3,276.18,8
100110,2023-07-26,East,Electronics,Smartphone,818.9,3,68.38,7
100111,2023-11-02,West,Electronics,Laptop,1613.99,2,445.12,11
100112,2023-06-15,North,Furniture,Table,200.18,3,46.36,6
100113,2023-05-13,North,Electronics,Headphones,609.96,4,110.34,5
100114,2023-03-10,West,Electronics,Headphones,1854.64,2,320.91,3
100115,2023-04-21,East,Furniture,Table,707.88,5,72.4,4
100116,2024-11-26,West,Electronics,Tablet,294.88,3,61.99,11
100117,2024-09-25,North,Electronics,Tablet,1040.17,3,305.06,9
100118,2024-06-17,North,Clothing,Jacket,354.49,5,42.41,6
100119,2024-06-29,South,Electronics,Smartphone,1078.16,1,149.86,6
100120,2023-02-16,North,Electronics,Smartphone,1386.98,2,82.98,2
100121,2023-09-14,South,Electronics,Smartphone,1843.33,3,120.31,9
100122,2023-02-25,East,Office Supplies,Notebook,385.35,3,39.44,2
100123,2023-12-31,South,Furniture,Table,1524.71,2,278.74,12
100124,2023-12-29,East,Furniture,Table,519.83,3,118.7,12
100125,2023-01-15,East,Clothing,Shoes,1737.09,5,240.65,1
100126,2023-08-19,North,Office Supplies,Notebook,380.92,5,72.75,8
100127,2024-08-02,North,Furniture,Table,481.77,4,65.39,8
100128,2024-04-14,East,Furniture,Desk,1006.92,1,72.23,4
100129,2024-06-01,North,Furniture,Desk,1137.63,1,164.61,6
100130,2024-01-12,South,Office Supplies,Pen,503.82,2,87.95,1
100131,2023-12-16,West,Electronics,Laptop,322.66,5,35.97,12
100132,2023-08-17,West,Clothing,Jeans,178.86,1,32.4,8
100133,2024-10-07,East,Office Supplies,Stapler,1160.48,2,324.18,10
100134,2024-01-27,East,Furniture,Chair,1645.31,3,377.79,1
100135,2024-12-24,South,Furniture,Desk,1543.6,5,149.36,12
100136,2023-11-16,South,Electronics,Headphones,1069.08,1,242.48,11
100137,2024-11-03,East,Furniture,Chair,1865.39,3,242.8,11
100138,2023-01-13,South,Furniture,Table,1106.23,2,207.12,1
100139,2024-07-03,North,Office Supplies,Pen,524.19,4,115.52,7
100140,2023-11-30,South,Clothing,Jacket,1704.44,1,403.09,11
100141,2024-05-27,East,Electronics,Headphones,1877.91,3,178.98,5
100142,2023-08-17,North,Office Supplies,Stapler,1686.82,4,143.28,8
100143,2023-03-19,East,Furniture,Bookshelf,345.25,3,87.57,3
100144,2023-10-23,South,Furniture,Table,646.07,4,127.33,10
100145,2023-05-23,East,Office Supplies,Printer Paper,1255.72,3,232.24,5
100146,2024-09-07,South,Electronics,Laptop,1801.16,1,262.92,9
100147,2024-07-07,East,Office Supplies,Printer Paper,874.43,3,116.48,7
100148,2024-02-24,East,Office Supplies,Stapler,1000.94,5,235.59,2
100149,2023-10-16,East,Electronics,Smartphone,637.21,1,71.45,10
100150,2023-04-28,North,Furniture,Bookshelf,1529.67,2,411.77,4
100151,2023-06-06,East,Furniture,Chair,924.86,4,185.89,6
100152,2024-02-15,South,Office Supplies,Notebook,473.92,5,109.27,2
100153,2023-03-10,East,Clothing,Jacket,1139.71,3,261.04,3
100154,2023-12-12,East,Office Supplies,Printer Paper,698.2,2,74.59,12
100155,2024-09-14,South,Furniture,Desk,1825.47,4,154.76,9
100156,2023-05-13,West,Office Supplies,Stapler,1865.59,3,356.86,5
100157,2023-02-20,North,Office Supplies,Notebook,1547.07,2,222.17,2
100158,2024-09-04,South,Electronics,Smartphone,1852.63,1,301.44,9
100159,2024-07-20,East,Electronics,Smartphone,266.83,4,74.77,7
100160,2024-03-11,South,Clothing,Shoes,771.03,5,182.01,3
100161,2024-08-24,North,Electronics,Laptop,680.33,2,101.74,8
100162,2024-06-12,East,Clothing,Jeans,942.09,2,160.35,6
100163,2023-01-25,West,Office Supplies,Printer Paper,915.83,3,78.04,1
100164,2024-10-23,East,Clothing,Shoes,1831.39,5,257.49,10
100165,2023-12-27,West,Furniture,Bookshelf,1333.8,2,126.06,12
100166,2023-05-21,East,Electronics,Headphones,1079.44,4,103.75,5
100167,2024-10-31,West,Furniture,Desk,435.61,3,119.58,10
100168,2023-01-18,East,Electronics,Laptop,767.9,5,198.99,1
100169,2023-04-23,West,Electronics,Smartphone,917.51,3,166.16,4
100170,2023-02-24,North,Furniture,Table,327.38,3,31.26,2
100171,2023-03-28,West,Clothing,Jacket,556.07,2,117.33,3
100172,2024-03-18,North,Clothing,Shoes,1736.65,2,263.96,3
100173,2024-08-26,North,Clothing,T-Shirt,1603.83,1,151.78,8
100174,2023-04-30,West,Clothing,Shoes,1614.52,2,479.81,4
100175,2023-01-07,South,Furniture,Desk,1889.93,4,161.16,1
100176,2024-07-01,North,Furniture,Desk,431.61,1,24.44,7
100177,2024-06-06,West,Electronics,Headphones,1787.49,2,454.67,6
100178,2023-09-18,West,Furniture,Desk,738.86,2,43.27,9
100179,2024-05-20,West,Electronics,Smartphone,883.53,1,109.22,5
100180,2024-12-27,South,Furniture,Bookshelf,1739.57,1,298.96,12
100181,2024-07-05,North,Office Supplies,Stapler,979.86,1,174.53,7
100182,2024-05-08,East,Furniture,Chair,530.62,1,45.02,5
100183,2023-03-16,North,Office Supplies,Pen,1803.13,2,401.75,3
100184,2023-01-17,South,Furniture,Table,1633.81,5,285.14,1
100185,2023-01-27,South,Electronics,Laptop,1446.0,2,110.83,1
100186,2024-03-30,North,Electronics,Tablet,1202.88,3,240.73,3
100187,2024-07-11,South,Furniture,Chair,849.17,1,123.8,7
100188,2023-10-19,North,Office Supplies,Pen,1918.08,4,184.31,10
100189,2024-11-06,West,Clothing,Jeans,790.81,5,96.62,11
100190,2024-02-10,West,Electronics,Tablet,1899.63,3,283.35,2
100191,2023-09-01,East,Electronics,Headphones,554.42,1,102.55,9
100192,2024-03-25,South,Clothing,T-Shirt,1201.75,3,160.51,3
100193,2024-09-07,North,Electronics,Laptop,716.05,1,109.7,9
100194,2024-03-10,West,Furniture,Chair,1641.82,3,410.22,3
100195,2023-01-17,East,Furniture,Table,224.13,2,28.83,1
100196,2023-12-05,West,Furniture,Chair,386.56,1,71.7,12
100197,2024-12-10,West,Office Supplies,Printer Paper,1522.89,5,351.83,12
100198,2024-05-03,South,Office Supplies,Notebook,989.06,2,104.15,5
100199,2023-03-27,South,Electronics,Smartphone,1184.76,2,355.24,3
100200,2024-05-12,West,Furniture,Desk,1467.43,5,144.03,5
100201,2024-02-06,East,Clothing,Jacket,958.94,5,254.61,2
100202,2023-07-07,West,Clothing,Jeans,1307.33,1,184.56,7
100203,2023-12-30,East,Electronics,Smartphone,1398.65,3,188.77,12
100204,2024-12-22,North,Clothing,Jacket,1086.03,1,233.95,12
100205,2023-06-19,East,Electronics,Headphones,1239.41,5,134.15,6
100206,2024-08-30,West,Furniture,Table,1751.91,3,319.26,8
100207,2023-09-02,South,Clothing,Jacket,124.31,4,8.97,9
100208,2023-12-25,North,Office Supplies,Notebook,1968.49,4,476.51,12
100209,2024-01-11,South,Office Supplies,Notebook,492.78,1,38.25,1
100210,2024-12-05,West,Furniture,Table,1436.8,4,283.45,12
100211,2023-05-20,West,Electronics,Smartphone,236.75,1,35.02,5
100212,2024-03-15,South,Clothing,Jeans,1576.96,5,114.1,3
100213,2024-07-17,East,Clothing,Jeans,1809.37,3,537.92,7
100214,2024-05-07,East,Office Supplies,Printer Paper,1678.89,4,180.72,5
100215,2024-05-20,North,Furniture,Table,369.53,3,38.85,5
100216,2024-06-04,North,Clothing,Shoes,134.53,5,39.32,6
100217,2024-11-20,East,Clothing,Shoes,1059.56,2,121.91,11
100218,2023-04-30,South,Furniture,Table,324.71,1,82.46,4
100219,2023-09-24,South,Electronics,Tablet,1194.02,1,232.86,9
100220,2023-11-28,East,Electronics,Headphones,560.46,3,94.81,11
100221,2023-05-04,West,Furniture,Chair,1110.7,1,79.69,5
100222,2023-02-06,South,Clothing,Jeans,1452.37,3,252.67,2
100223,2023-02-09,South,Office Supplies,Stapler,1791.07,5,533.5,2
100224,2023-02-09,West,Electronics,Headphones,1814.9,5,349.97,2
100225,2023-06-17,West,Clothing,T-Shirt,1473.14,5,265.63,6
100226,2024-07-10,East,Office Supplies,Notebook,1737.24,3,394.51,7
100227,2023-01-07,West,Electronics,Laptop,229.55,2,51.59,1
100228,2024-03-01,East,Electronics,Tablet,1746.25,5,100.08,3
100229,2023-12-22,South,Furniture,Bookshelf,472.68,3,131.02,12
100230,2024-06-08,West,Furniture,Table,1024.79,5,52.88,6
100231,2024-11-30,South,Furniture,Desk,1128.49,1,89.11,11
100232,2024-03-30,South,Office Supplies,Stapler,1564.09,5,120.04,3
100233,2023-02-06,South,Furniture,Chair,696.91,2,145.07,2
100234,2023-07-11,West,Electronics,Smartphone,364.03,4,88.36,7
100235,2023-04-30,South,Electronics,Headphones,1172.7,1,160.04,4
100236,2024-11-06,West,Clothing,Jeans,1980.49,2,433.75,11
100237,2023-02-02,East,Clothing,Jacket,1521.36,4,85.42,2
100238,2024-03-05,South,Furniture,Desk,519.97,3,26.13,3
100239,2023-09-28,East,Furniture,Chair,863.84,4,140.67,9
100240,2023-03-25,East,Clothing,T-Shirt,610.78,5,158.79,3
100241,2024-08-26,West,Furniture,Desk,1738.75,3,505.64,8
100242,2024-03-28,North,Electronics,Laptop,1284.28,5,191.87,3
100243,2023-06-12,South,Clothing,Jacket,655.07,1,151.39,6
100244,2023-07-27,West,Office Supplies,Notebook,1435.55,1,273.74,7
100245,2024-06-03,North,Clothing,Shoes,387.34,4,103.48,6
100246,2024-11-23,West,Clothing,Jacket,1526.83,2,315.37,11
100247,2023-07-25,North,Office Supplies,Stapler,1240.97,2,309.17,7
100248,2024-12-26,West,Clothing,T-Shirt,510.13,4,96.72,12
100249,2024-12-17,West,Furniture,Chair,1188.72,5,188.19,12
100250,2024-05-09,South,Electronics,Headphones,163.44,5,24.21,5
100251,2024-02-29,South,Clothing,Jeans,1396.06,3,370.0,2
100252,2023-02-15,North,Office Supplies,Printer Paper,227.76,3,25.17,2
100253,2023-08-30,West,Office Supplies,Printer Paper,1410.88,4,267.94,8
100254,2024-08-11,South,Office Supplies,Notebook,1077.8,2,291.69,8
100255,2023-05-23,South,Office Supplies,Pen,1955.38,2,195.96,5
100256,2024-09-26,East,Furniture,Table,227.04,4,47.48,9
100257,2024-12-16,South,Furniture,Chair,122.9,1,22.78,12
100258,2023-09-08,East,Office Supplies,Stapler,1258.1,2,309.31,9
100259,2023-01-22,South,Clothing,Jacket,1791.74,3,334.87,1
100260,2023-01-12,South,Furniture,Desk,100.69,3,9.16,1
100261,2024-07-20,East,Clothing,Shoes,968.97,5,197.61,7
100262,2023-10-15,East,Furniture,Bookshelf,380.59,5,94.17,10
100263,2023-12-18,North,Clothing,Shoes,61.31,2,13.08,12
100264,2024-03-20,East,Office Supplies,Notebook,1307.64,3,130.61,3
100265,2023-06-08,North,Electronics,Smartphone,1684.1,1,157.54,6
100266,2024-06-15,South,Furniture,Chair,1264.95,4,295.79,6
100267,2023-09-07,West,Office Supplies,Stapler,1736.72,2,338.09,9
100268,2023-10-22,South,Electronics,Smartphone,1749.38,4,481.39,10
100269,2023-08-25,East,Furniture,Desk,582.03,3,81.36,8
100270,2023-04-10,West,Furniture,Bookshelf,1471.56,5,121.98,4
100271,2023-10-20,East,Office Supplies,Pen,490.34,2,143.6,10
100272,2024-09-14,North,Electronics,Smartphone,885.59,5,65.84,9
100273,2023-01-28,North,Furniture,Bookshelf,1331.99,1,98.32,1
100274,2024-11-06,West,Furniture,Desk,37.88,5,7.47,11
100275,2024-08-27,West,Electronics,Tablet,1769.75,3,284.06,8
100276,2024-05-27,East,Furniture,Bookshelf,873.16,1,97.95,5
100277,2023-07-23,East,Electronics,Headphones,771.13,4,155.29,7
100278,2024-12-19,East,Electronics,Laptop,1416.66,1,228.92,12
100279,2024-05-25,South,Furniture,Bookshelf,241.6,3,28.37,5
100280,2024-04-29,South,Electronics,Headphones,97.9,2,7.88,4
100281,2024-05-04,West,Electronics,Tablet,224.55,5,44.05,5
100282,2023-08-05,South,Office Supplies,Notebook,1930.94,2,98.93,8
100283,2023-06-27,East,Furniture,Chair,1168.62,1,132.7,6
100284,2023-12-02,West,Clothing,Shoes,268.97,4,22.37,12
100285,2024-10-30,North,Furniture,Table,1353.4,4,395.84,10
100286,2023-11-07,North,Office Supplies,Pen,1927.43,5,219.39,11
100287,2024-06-21,North,Clothing,Jeans,1372.83,3,239.28,6
100288,2023-01-01,South,Office Supplies,Printer Paper,80.17,1,22.67,1
100289,2023-08-08,South,Clothing,Jacket,1340.6,5,260.47,8
100290,2024-08-07,North,Furniture,Table,1735.55,1,517.77,8
100291,2024-05-08,South,Electronics,Laptop,236.04,1,50.19,5
100292,2023-10-06,North,Office Supplies,Pen,1619.53,3,389.61,10
100293,2024-08-23,East,Clothing,T-Shirt,763.83,3,94.88,8
100294,2024-08-27,North,Electronics,Tablet,745.59,1,111.13,8
100295,2023-09-24,South,Electronics,Laptop,1100.46,1,177.29,9
100296,2023-11-24,North,Clothing,Shoes,1523.5,2,266.78,11
100297,2023-05-13,West,Office Supplies,Pen,70.77,4,9.58,5
100298,2023-12-09,East,Furniture,Bookshelf,507.22,5,85.81,12
100299,2024-02-11,North,Furniture,Table,1436.67,2,259.04,2
100300,2023-02-20,East,Clothing,Jacket,1798.1,5,199.36,2
100301,2024-01-08,South,Clothing,Shoes,968.78,5,95.56,1
100302,2023-05-24,West,Office Supplies,Pen,1860.62,3,340.61,5
100303,2023-12-11,South,Furniture,Bookshelf,811.81,2,238.82,12
100304,2023-11-08,East,Furniture,Desk,379.25,4,68.75,11
100305,2024-01-20,West,Electronics,Smartphone,527.99,5,153.5,1
100306,2023-04-28,East,Office Supplies,Stapler,1273.64,5,366.62,4
100307,2024-01-13,South,Electronics,Smartphone,471.6,4,48.58,1
100308,2023-10-20,South,Electronics,Laptop,1802.05,2,249.32,10
100309,2023-05-26,North,Office Supplies,Pen,1705.33,3,371.52,5
100310,2024-07-14,East,Clothing,Shoes,914.5,2,179.84,7
100311,2024-03-07,South,Clothing,Shoes,956.33,2,175.81,3
100312,2024-08-12,South,Electronics,Tablet,1222.05,3,228.13,8
100313,2023-09-20,East,Electronics,Laptop,1003.6,1,298.02,9
100314,2024-04-03,North,Electronics,Smartphone,896.58,3,144.75,4
100315,2024-07-07,South,Clothing,Shoes,1641.04,4,329.53,7
100316,2024-11-06,North,Office Supplies,Printer Paper,177.25,5,12.66,11
100317,2024-07-14,West,Clothing,T-Shirt,468.78,1,65.04,7
100318,2023-08-18,North,Office Supplies,Pen,1604.71,4,174.0,8
100319,2023-12-08,East,Office Supplies,Pen,1075.26,3,140.95,12
100320,2024-04-15,South,Furniture,Table,1330.44,4,252.05,4
100321,2023-10-14,North,Furniture,Bookshelf,195.76,4,56.85,10
100322,2023-01-12,West,Clothing,T-Shirt,211.42,2,34.38,1
100323,2023-08-25,South,Electronics,Headphones,1962.85,4,331.18,8
100324,2023-09-05,West,Clothing,Shoes,321.78,3,95.93,9
100325,2024-03-31,South,Office Supplies,Notebook,1349.69,1,98.84,3
100326,2024-05-23,West,Clothing,Shoes,1224.8,1,216.43,5
100327,2023-12-07,North,Furniture,Bookshelf,470.17,1,63.67,12
100328,2024-12-02,West,Furniture,Desk,1116.53,1,141.11,12
100329,2023-05-23,South,Clothing,Jeans,1749.21,4,158.2,5
100330,2023-02-11,North,Furniture,Bookshelf,794.26,5,139.22,2
100331,2024-04-06,South,Furniture,Table,773.63,5,208.49,4
100332,2024-07-31,East,Furniture,Desk,1641.1,4,214.38,7
100333,2023-09-23,West,Clothing,Jeans,705.28,3,207.28,9
100334,2023-04-20,East,Electronics,Smartphone,969.12,1,124.47,4
100335,2023-01-25,South,Office Supplies,Pen,648.71,5,186.96,1
100336,2023-03-20,North,Electronics,Laptop,154.98,2,8.75,3
100337,2024-10-14,West,Office Supplies,Notebook,1557.91,4,125.43,10
100338,2024-11-02,South,Clothing,Jeans,890.23,4,68.03,11
100339,2024-05-31,East,Electronics,Tablet,1307.4,2,115.06,5
100340,2023-09-10,South,Clothing,Jeans,439.28,2,75.18,9
100341,2023-11-25,North,Clothing,Shoes,872.07,1,80.81,11
100342,2023-09-17,North,Office Supplies,Pen,371.98,3,82.92,9
100343,2024-02-24,North,Office Supplies,Printer Paper,480.64,1,50.56,2
100344,2024-04-27,South,Office Supplies,Pen,278.81,2,75.74,4
100345,2024-08-20,North,Clothing,Jacket,973.64,4,91.74,8
100346,2024-08-13,South,Electronics,Smartphone,284.93,2,44.06,8
100347,2023-08-01,North,Electronics,Smartphone,395.6,2,80.99,8
100348,2024-11-02,North,Furniture,Table,1952.23,5,488.81,11
100349,2023-11-04,North,Office Supplies,Notebook,546.39,3,115.57,11
100350,2024-09-15,West,Office Supplies,Printer Paper,986.72,5,86.35,9
100351,2024-07-07,South,Office Supplies,Pen,764.26,3,113.58,7
100352,2024-01-28,West,Electronics,Smartphone,283.63,5,21.42,1
100353,2023-08-30,South,Electronics,Laptop,886.45,2,100.76,8
100354,2024-12-26,East,Furniture,Bookshelf,1566.72,4,401.52,12
100355,2024-08-03,East,Office Supplies,Notebook,151.97,1,27.29,8
100356,2024-05-19,West,Office Supplies,Stapler,897.68,1,55.62,5
100357,2023-01-17,West,Clothing,Jacket,162.73,1,11.04,1
100358,2024-10-12,West,Electronics,Headphones,787.44,5,130.31,10
100359,2024-03-17,East,Office Supplies,Printer Paper,1329.51,3,128.03,3
100360,2023-12-03,West,Electronics,Laptop,61.47,2,4.34,12
100361,2024-07-14,East,Clothing,Shoes,1952.46,1,423.37,7
100362,2023-04-29,South,Office Supplies,Pen,1553.77,4,327.81,4
100363,2024-05-02,East,Furniture,Desk,657.99,2,53.5,5
100364,2023-10-15,West,Furniture,Table,1173.2,5,278.07,10
100365,2023-07-02,South,Office Supplies,Pen,106.6,3,8.28,7
100366,2024-02-18,South,Electronics,Laptop,1109.18,3,163.23,2
100367,2023-05-02,West,Office Supplies,Notebook,410.99,4,111.68,5
100368,2024-02-01,North,Office Supplies,Pen,531.69,1,98.9,2
100369,2023-08-23,South,Furniture,Chair,126.64,4,16.47,8
100370,2023-08-01,North,Electronics,Smartphone,105.48,4,9.62,8
100371,2023-03-29,East,Clothing,Shoes,1930.96,3,332.32,3
100372,2024-12-03,East,Office Supplies,Notebook,1521.21,3,358.79,12
100373,2023-05-08,North,Furniture,Desk,205.64,5,39.95,5
100374,2023-09-18,West,Electronics,Tablet,1124.92,2,284.54,9
100375,2024-05-05,South,Clothing,T-Shirt,216.37,4,32.54,5
100376,2023-03-07,East,Electronics,Smartphone,1471.48,5,300.18,3
100377,2024-08-24,South,Electronics,Headphones,1086.62,5,196.72,8
100378,2024-03-12,South,Furniture,Table,1496.55,4,150.58,3
100379,2023-07-30,South,Electronics,Headphones,1517.4,3,395.27,7
100380,2024-06-19,South,Electronics,Smartphone,783.04,4,165.1,6
100381,2024-02-09,West,Furniture,Desk,795.22,2,121.79,2
100382,2023-04-29,North,Furniture,Table,379.01,4,55.68,4
100383,2024-11-28,West,Clothing,Shoes,1291.8,5,85.53,11
100384,2024-08-16,South,Clothing,Shoes,124.55,4,21.38,8
100385,2023-07-30,South,Clothing,Jacket,1653.6,4,288.66,7
100386,2024-12-04,North,Furniture,Bookshelf,1496.93,5,442.33,12
100387,2024-04-25,East,Clothing,Shoes,311.96,5,41.19,4
100388,2023-04-28,East,Furniture,Desk,143.83,4,36.01,4
100389,2024-02-03,East,Electronics,Laptop,1282.36,1,223.18,2
100390,2024-05-19,West,Furniture,Desk,779.99,4,150.51,5
100391,2023-09-11,North,Office Supplies,Notebook,682.33,2,38.59,9
100392,2024-03-01,East,Furniture,Chair,1860.64,1,457.06,3
100393,2023-02-18,North,Clothing,Jeans,1748.01,2,455.33,2
100394,2023-10-22,South,Electronics,Smartphone,1417.92,5,294.63,10
100395,2023-07-01,North,Furniture,Desk,1564.82,1,80.99,7
100396,2024-07-01,West,Furniture,Bookshelf,288.0,4,68.5,7
